timestamp,search_id,range_type,min_price,max_price,price_range_width,success,duration_ms,total_hits,returned_hits,hits_per_ms,sample_prices,error
2025-07-06T15:40:28.607094,813,wide_all,1.0,4999.69,4998.69,True,4.84,10000,100,2068.2,"[1.0, 1.0, 1.0, 1.01, 1.01]",
2025-07-06T15:40:29.624031,814,wide_upper_half,765.91,4999.69,4233.78,True,13.49,10000,100,741.24,"[765.91, 766.0, 766.01, 766.04, 766.06]",
2025-07-06T15:40:30.635592,815,small_cap,18.01,42.57,24.56,True,8.77,6074,100,692.36,"[18.01, 18.01, 18.01, 18.01, 18.01]",
2025-07-06T15:40:31.656022,816,large_cap,204.26,998.23,793.97,True,13.96,9975,100,714.5,"[204.33, 204.4, 204.48, 204.52, 204.53]",
2025-07-06T15:40:32.665245,817,high_value,1009.45,4995.85,3986.4,True,4.16,10000,100,2405.13,"[1009.64, 1009.72, 1009.89, 1010.66, 1011.08]",
2025-07-06T15:40:33.672763,818,narrow_high,4897.88,4990.03,92.15,True,3.86,230,100,59.56,"[4897.89, 4897.9, 4898.09, 4898.17, 4898.25]",
2025-07-06T15:40:34.691492,819,wide_upper_half,753.01,4991.53,4238.52,True,13.18,10000,100,759.01,"[753.02, 753.02, 753.22, 753.52, 753.62]",
2025-07-06T15:40:35.707301,820,wide_upper_half,760.31,4995.74,4235.43,True,13.12,10000,100,762.43,"[760.33, 760.44, 760.44, 760.49, 760.66]",
2025-07-06T15:40:36.719765,821,mid_cap,58.79,203.23,144.44,True,8.47,9474,100,1118.81,"[58.79, 58.82, 58.85, 58.87, 58.88]",
2025-07-06T15:40:37.724548,822,medium_high,1137.73,4999.69,3861.96,True,4.04,9700,100,2399.71,"[1137.85, 1138.58, 1139.57, 1139.99, 1140.97]",
2025-07-06T15:40:38.736361,823,penny_stocks,-0.22,0.78,1.0,True,8.35,0,0,0.0,[],
2025-07-06T15:40:39.752540,824,small_cap,13.03,56.06,43.03,True,10.8,9614,100,889.94,"[13.04, 13.05, 13.05, 13.05, 13.05]",
2025-07-06T15:40:40.758715,825,narrow_low,7.94,46.19,38.25,True,4.01,10000,100,2492.6,"[7.94, 7.94, 7.94, 7.94, 7.94]",
2025-07-06T15:40:41.773806,826,narrow_high,4907.32,4999.69,92.37,True,13.7,217,100,15.84,"[4907.41, 4907.56, 4907.65, 4907.84, 4908.08]",
2025-07-06T15:40:42.784277,827,narrow_mid,741.28,788.09,46.81,True,8.24,580,100,70.37,"[741.33, 741.35, 741.35, 741.56, 741.76]",
2025-07-06T15:40:43.818132,828,narrow_low,4.13,44.12,39.99,True,28.06,10000,100,356.34,"[4.13, 4.13, 4.13, 4.13, 4.13]",
2025-07-06T15:40:44.823008,829,wide_lower_half,8.46,758.76,750.3,True,4.22,10000,100,2368.06,"[8.46, 8.46, 8.46, 8.46, 8.46]",
2025-07-06T15:40:45.833449,830,small_cap,1.88,50.65,48.77,True,7.42,10000,100,1347.35,"[1.88, 1.88, 1.88, 1.88, 1.89]",
2025-07-06T15:40:46.839973,831,wide_upper_half,756.34,4996.21,4239.87,True,4.77,10000,100,2098.2,"[756.46, 756.62, 756.7, 756.74, 756.77]",
2025-07-06T15:40:47.852720,832,mid_cap,53.76,191.44,137.68,True,10.29,9175,100,891.92,"[53.77, 53.78, 53.82, 53.84, 53.86]",
2025-07-06T15:40:48.860740,833,wide_upper_half,753.76,4999.69,4245.93,True,4.03,10000,100,2483.16,"[753.8, 753.93, 754.14, 754.15, 754.31]",
2025-07-06T15:40:49.866021,834,medium_high,1137.3,4994.2,3856.9,True,3.52,3148,100,893.23,"[1138.04, 1138.48, 1138.87, 1139.07, 1139.1]",
